time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-28T03:32:08.080Z,18.9923,-65.1975,36,2.71,md,4,286,0.9629,0.34,pr,pr2017240007,2017-08-28T07:55:31.790Z,"77km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.24,20.25,0.43,3,reviewed,pr,pr
2017-08-28T03:18:20.680Z,18.9831,-65.1696,48,2.98,md,4,286,0.9651,0.2,pr,pr2017240008,2017-08-28T07:56:13.535Z,"75km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.55,15.11,0,1,reviewed,pr,pr
2017-08-28T01:47:01.550Z,19.3135,-67.4881,65,3.26,md,14,306,1.2067,0.53,pr,pr2017240000,2017-08-28T02:25:34.811Z,"99km NNW of San Antonio, Puerto Rico",earthquake,5.76,17.34,0.21,12,reviewed,pr,pr
2017-08-28T00:56:28.410Z,-43.1599,-74.2961,14.64,4.1,mb,,167,1.064,1.1,us,us2000acct,2017-08-28T01:19:59.040Z,"55km W of Puerto Quellon, Chile",earthquake,7.4,5.2,0.233,5,reviewed,us,us
2017-08-27T23:58:13.388Z,61.7983,-150.8375,49.8,3.4,ml,,,,0.62,ak,ak16718318,2017-08-28T00:11:59.726Z,"42km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-08-27T23:17:47.110Z,-15.1093,-177.8185,377.74,4.3,mb,,114,4.75,1.3,us,us2000acca,2017-08-27T23:45:33.040Z,"97km SSE of Sigave, Wallis and Futuna",earthquake,12.8,8.4,0.084,40,reviewed,us,us
2017-08-27T23:14:51.680Z,38.0055,47.2379,10,5,mb,,64,2.761,1.25,us,us2000acc8,2017-08-28T08:17:41.158Z,"54km SSE of Ahar, Iran",earthquake,7.1,1.9,0.05,126,reviewed,us,us
2017-08-27T23:12:49.750Z,19.0798,-68.6206,29,2.96,md,3,316,0.6144,0.35,pr,pr2017239020,2017-08-28T04:27:12.582Z,"46km ENE of Miches, Dominican Republic",earthquake,6.71,21.5,0.12,3,reviewed,pr,pr
2017-08-27T23:03:11.420Z,19.3173,-67.2695,48,2.91,md,8,253,0.9561,0.28,pr,pr2017239019,2017-08-28T04:26:48.998Z,"93km NNW of Isabela, Puerto Rico",earthquake,3.19,10.67,0.4,6,reviewed,pr,pr
2017-08-27T22:32:36.750Z,43.7688,-127.8009,10,4.3,mwr,,107,2.718,0.96,us,us2000acc0,2017-08-28T17:26:53.670Z,"283km WNW of Bandon, Oregon",earthquake,7.5,1.9,0.059,28,reviewed,us,us
